Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_Is_Home,Team2_Name,Custom_Opponent
SportsEngine,9/26/2024,18:00:00,9/26/2024,20:00:00,Sheet A,24HF04,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,9/26/2024,18:00:00,9/26/2024,20:00:00,Sheet B,24HF10,24HF01,,,,0,Game,,1,0,FALSE
SportsEngine,9/26/2024,18:00:00,9/26/2024,20:00:00,Sheet C,24HF02,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,9/26/2024,20:30:00,9/26/2024,22:30:00,Sheet A,24HF05,24HF12,,,,0,Game,,1,0,FALSE
SportsEngine,9/26/2024,20:30:00,9/26/2024,22:30:00,Sheet B,24HF03,24HF00,,,,0,Game,,1,0,FALSE
SportsEngine,9/26/2024,20:30:00,9/26/2024,22:30:00,Sheet C,24HF11,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,18:00:00,10/3/2024,20:00:00,Sheet A,24HF09,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,18:00:00,10/3/2024,20:00:00,Sheet B,24HF05,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,18:00:00,10/3/2024,20:00:00,Sheet C,24HF07,24HF12,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,20:30:00,10/3/2024,22:30:00,Sheet A,24HF06,24HF01,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,20:30:00,10/3/2024,22:30:00,Sheet B,24HF04,24HF00,,,,0,Game,,1,0,FALSE
SportsEngine,10/3/2024,20:30:00,10/3/2024,22:30:00,Sheet C,24HF02,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,18:00:00,10/10/2024,20:00:00,Sheet A,24HF05,24HF11,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,18:00:00,10/10/2024,20:00:00,Sheet B,24HF06,24HF12,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,18:00:00,10/10/2024,20:00:00,Sheet C,24HF00,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,20:30:00,10/10/2024,22:30:00,Sheet A,24HF01,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,20:30:00,10/10/2024,22:30:00,Sheet B,24HF02,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,10/10/2024,20:30:00,10/10/2024,22:30:00,Sheet C,24HF04,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,18:00:00,10/17/2024,20:00:00,Sheet A,24HF00,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,18:00:00,10/17/2024,20:00:00,Sheet B,24HF03,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,18:00:00,10/17/2024,20:00:00,Sheet C,24HF01,24HF04,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,20:30:00,10/17/2024,22:30:00,Sheet A,24HF11,24HF12,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,20:30:00,10/17/2024,22:30:00,Sheet B,24HF10,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,10/17/2024,20:30:00,10/17/2024,22:30:00,Sheet C,24HF08,24HF05,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,18:00:00,10/24/2024,20:00:00,Sheet A,24HF03,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,18:00:00,10/24/2024,20:00:00,Sheet B,24HF11,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,18:00:00,10/24/2024,20:00:00,Sheet C,24HF12,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,20:30:00,10/24/2024,22:30:00,Sheet A,24HF00,24HF05,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,20:30:00,10/24/2024,22:30:00,Sheet B,24HF04,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,10/24/2024,20:30:00,10/24/2024,22:30:00,Sheet C,24HF01,24HF02,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,18:00:00,10/31/2024,20:00:00,Sheet A,24HF05,24HF04,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,18:00:00,10/31/2024,20:00:00,Sheet B,24HF12,24HF01,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,18:00:00,10/31/2024,20:00:00,Sheet C,24HF02,24HF11,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,20:30:00,10/31/2024,22:30:00,Sheet A,24HF10,24HF00,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,20:30:00,10/31/2024,22:30:00,Sheet B,24HF08,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,10/31/2024,20:30:00,10/31/2024,22:30:00,Sheet C,24HF07,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,18:00:00,11/7/2024,20:00:00,Sheet A,24HF09,24HF00,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,18:00:00,11/7/2024,20:00:00,Sheet B,24HF08,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,18:00:00,11/7/2024,20:00:00,Sheet C,24HF07,24HF02,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,20:30:00,11/7/2024,22:30:00,Sheet A,24HF11,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,20:30:00,11/7/2024,22:30:00,Sheet B,24HF12,24HF04,,,,0,Game,,1,0,FALSE
SportsEngine,11/7/2024,20:30:00,11/7/2024,22:30:00,Sheet C,24HF01,24HF05,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,18:00:00,11/14/2024,20:00:00,Sheet A,24HF01,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,18:00:00,11/14/2024,20:00:00,Sheet B,24HF06,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,18:00:00,11/14/2024,20:00:00,Sheet C,24HF11,24HF04,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,20:30:00,11/14/2024,22:30:00,Sheet A,24HF02,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,20:30:00,11/14/2024,22:30:00,Sheet B,24HF08,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,11/14/2024,20:30:00,11/14/2024,22:30:00,Sheet C,24HF00,24HF12,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,18:00:00,11/21/2024,20:00:00,Sheet A,24HF12,24HF02,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,18:00:00,11/21/2024,20:00:00,Sheet B,24HF03,24HF05,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,18:00:00,11/21/2024,20:00:00,Sheet C,24HF01,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,20:30:00,11/21/2024,22:30:00,Sheet A,24HF07,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,20:30:00,11/21/2024,22:30:00,Sheet B,24HF11,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,11/21/2024,20:30:00,11/21/2024,22:30:00,Sheet C,24HF04,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,18:00:00,12/5/2024,20:00:00,Sheet A,24HF09,24HF11,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,18:00:00,12/5/2024,20:00:00,Sheet B,24HF04,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,18:00:00,12/5/2024,20:00:00,Sheet C,24HF10,24HF06,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,20:30:00,12/5/2024,22:30:00,Sheet A,24HF05,24HF02,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,20:30:00,12/5/2024,22:30:00,Sheet B,24HF00,24HF01,,,,0,Game,,1,0,FALSE
SportsEngine,12/5/2024,20:30:00,12/5/2024,22:30:00,Sheet C,24HF12,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,18:00:00,12/12/2024,20:00:00,Sheet A,24HF06,24HF09,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,18:00:00,12/12/2024,20:00:00,Sheet B,24HF05,24HF07,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,18:00:00,12/12/2024,20:00:00,Sheet C,24HF00,24HF11,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,20:30:00,12/12/2024,22:30:00,Sheet A,24HF12,24HF08,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,20:30:00,12/12/2024,22:30:00,Sheet B,24HF04,24HF02,,,,0,Game,,1,0,FALSE
SportsEngine,12/12/2024,20:30:00,12/12/2024,22:30:00,Sheet C,24HF10,24HF03,,,,0,Game,,1,0,FALSE
SportsEngine,12/19/2024,18:00:00,12/19/2024,20:00:00,Sheet A,24HF04,24HF10,,,,0,Game,,1,0,FALSE
SportsEngine,12/19/2024,18:00:00,12/19/2024,20:00:00,Sheet B,24HF11,24HF01,,,,0,Game,,1,0,FALSE
SportsEngine,12/19/2024,18:00:00,12/19/2024,20:00:00,Sheet C,24HF05,24HF09,,,,0,Game,,1,0,FALSE
