Format,Start_Date,Start_Time,End_Date,End_Time,Location,Team1_ID,Team2_ID,Description,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_Is_Home,Team2_Name,Custom_Opponent
SportsEngine,2025-12-04,20:30:00,2025-12-04,22:30:00,Sheet B,25HF12,25HF04,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-04,20:30:00,2025-12-04,22:30:00,Sheet C,25HF01,25HF05,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,18:00:00,2025-11-20,20:00:00,Sheet A,25HF01,25HF03,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,18:00:00,2025-11-20,20:00:00,Sheet B,25HF06,25HF07,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,18:00:00,2025-11-20,20:00:00,Sheet C,25HF11,25HF04,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,20:30:00,2025-11-20,22:30:00,Sheet A,25HF02,25HF10,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,20:30:00,2025-11-20,22:30:00,Sheet B,25HF08,25HF09,,,,0,Game,,1,0,FALSE
SportsEngine,2025-11-20,20:30:00,2025-11-20,22:30:00,Sheet C,25HF00,25HF12,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,18:00:00,2025-12-18,20:00:00,Sheet A,25HF12,25HF02,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,18:00:00,2025-12-18,20:00:00,Sheet B,25HF03,25HF05,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,18:00:00,2025-12-18,20:00:00,Sheet C,25HF01,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,20:30:00,2025-12-18,22:30:00,Sheet A,25HF07,25HF10,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,20:30:00,2025-12-18,22:30:00,Sheet B,25HF11,25HF06,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-18,20:30:00,2025-12-18,22:30:00,Sheet C,25HF04,25HF09,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,18:00:00,2025-12-11,20:00:00,Sheet A,25HF09,25HF11,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,18:00:00,2025-12-11,20:00:00,Sheet B,25HF04,25HF07,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,18:00:00,2025-12-11,20:00:00,Sheet C,25HF10,25HF06,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,20:30:00,2025-12-11,22:30:00,Sheet A,25HF05,25HF02,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,20:30:00,2025-12-11,22:30:00,Sheet B,25HF00,25HF01,,,,0,Game,,1,0,FALSE
SportsEngine,2025-12-11,20:30:00,2025-12-11,22:30:00,Sheet C,25HF12,25HF03,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,18:00:00,2025-10-16,20:00:00,Sheet A,25HF06,25HF09,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,18:00:00,2025-10-16,20:00:00,Sheet B,25HF05,25HF07,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,18:00:00,2025-10-16,20:00:00,Sheet C,25HF00,25HF11,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,20:30:00,2025-10-16,22:30:00,Sheet A,25HF12,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,20:30:00,2025-10-16,22:30:00,Sheet B,25HF04,25HF02,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-16,20:30:00,2025-10-16,22:30:00,Sheet C,25HF10,25HF03,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,18:00:00,2025-10-23,20:00:00,Sheet A,25HF04,25HF10,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,18:00:00,2025-10-23,20:00:00,Sheet B,25HF11,25HF01,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,18:00:00,2025-10-23,20:00:00,Sheet C,25HF05,25HF09,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,20:30:00,2025-10-23,22:30:00,Sheet A,25HF03,25HF06,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,20:30:00,2025-10-23,22:30:00,Sheet B,25HF02,25HF00,,,,0,Game,,1,0,FALSE
SportsEngine,2025-10-23,20:30:00,2025-10-23,22:30:00,Sheet C,25HF07,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,18:00:00,2025-09-25,20:00:00,Sheet A,25HF07,25HF00,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,18:00:00,2025-09-25,20:00:00,Sheet B,25HF03,25HF02,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,18:00:00,2025-09-25,20:00:00,Sheet C,25HF05,25HF06,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,20:30:00,2025-09-25,22:30:00,Sheet A,25HF11,25HF08,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,20:30:00,2025-09-25,22:30:00,Sheet B,25HF01,25HF09,,,,0,Game,,1,0,FALSE
SportsEngine,2025-09-25,20:30:00,2025-09-25,22:30:00,Sheet C,25HF10,25HF12,,,,0,Game,,1,0,FALSE
