Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,11/9/2023,6:00 PM,11/9/2023,8:30 PM,Bada Bing Bada Broom at Right Down The Line,,Sheet A,,,0,Game,,23HF02,0,23HF10,,FALSE,539473339
SportsEngine,11/9/2023,6:00 PM,11/9/2023,8:30 PM,4 Sheets To The Wind at Rutherford,,Sheet B,,,0,Game,,23HF01,0,23HF11,,FALSE,539473340
SportsEngine,11/9/2023,6:00 PM,11/9/2023,8:30 PM,Butter Cutters at Liske,,Sheet C,,,0,Game,,23HF04,0,23HF08,,FALSE,539473341
SportsEngine,11/9/2023,8:30 PM,11/9/2023,10:30 PM,Curlin' Baconators at Perfect Curl,,Sheet A,,,0,Game,,23HF05,0,23HF09,,FALSE,539473342
SportsEngine,11/9/2023,8:30 PM,11/9/2023,10:30 PM,Haggis Hitters at Ice Breakers,,Sheet B,,,0,Game,,23HF06,0,23HF07,,FALSE,539473343
SportsEngine,11/9/2023,8:30 PM,11/9/2023,10:30 PM,Barber at Standeven,,Sheet C,,,0,Game,,23HF03,0,23HF12,,FALSE,539473344
SportsEngine,11/16/2023,6:00 PM,11/16/2023,8:30 PM,Haggis Hitters at Standeven,,Sheet A,,,0,Game,,23HF06,0,23HF12,,FALSE,539473345
SportsEngine,11/16/2023,6:00 PM,11/16/2023,8:30 PM,Barber at Curlin' Baconators,,Sheet B,,,0,Game,,23HF03,0,23HF05,,FALSE,539473346
SportsEngine,11/16/2023,6:00 PM,11/16/2023,8:30 PM,Ice Breakers at Perfect Curl,,Sheet C,,,0,Game,,23HF07,0,23HF09,,FALSE,539473347
SportsEngine,11/16/2023,8:30 PM,11/16/2023,10:30 PM,4 Sheets To The Wind at Liske,,Sheet A,,,0,Game,,23HF01,0,23HF08,,FALSE,539473348
SportsEngine,11/16/2023,8:30 PM,11/16/2023,10:30 PM,Bada Bing Bada Broom at Butter Cutters,,Sheet B,,,0,Game,,23HF02,0,23HF04,,FALSE,539473349
SportsEngine,11/16/2023,8:30 PM,11/16/2023,10:30 PM,Right Down The Line at Rutherford,,Sheet C,,,0,Game,,23HF10,0,23HF11,,FALSE,539473350
SportsEngine,11/30/2023,6:00 PM,11/30/2023,8:30 PM,Barber at Rutherford,,Sheet A,,,0,Game,,23HF03,0,23HF11,,FALSE,539473351
SportsEngine,11/30/2023,6:00 PM,11/30/2023,8:30 PM,Liske at Perfect Curl,,Sheet B,,,0,Game,,23HF08,0,23HF09,,FALSE,539473352
SportsEngine,11/30/2023,6:00 PM,11/30/2023,8:30 PM,4 Sheets To The Wind at Butter Cutters,,Sheet C,,,0,Game,,23HF01,0,23HF04,,FALSE,539473353
SportsEngine,11/30/2023,8:30 PM,11/30/2023,10:30 PM,Curlin' Baconators at Right Down The Line,,Sheet A,,,0,Game,,23HF05,0,23HF10,,FALSE,539473354
SportsEngine,11/30/2023,8:30 PM,11/30/2023,10:30 PM,Ice Breakers at Standeven,,Sheet B,,,0,Game,,23HF07,0,23HF12,,FALSE,539473355
SportsEngine,11/30/2023,8:30 PM,11/30/2023,10:30 PM,Bada Bing Bada Broom at Haggis Hitters,,Sheet C,,,0,Game,,23HF02,0,23HF06,,FALSE,539473356
SportsEngine,12/7/2023,6:00 PM,12/7/2023,8:30 PM,4 Sheets To The Wind at Standeven,,Sheet A,,,0,Game,,23HF01,0,23HF12,,FALSE,539473357
SportsEngine,12/7/2023,6:00 PM,12/7/2023,8:30 PM,Bada Bing Bada Broom at Curlin' Baconators,,Sheet B,,,0,Game,,23HF02,0,23HF05,,FALSE,539473358
SportsEngine,12/7/2023,6:00 PM,12/7/2023,8:30 PM,Ice Breakers at Right Down The Line,,Sheet C,,,0,Game,,23HF07,0,23HF10,,FALSE,539473359
SportsEngine,12/7/2023,8:30 PM,12/7/2023,10:30 PM,Butter Cutters at Perfect Curl,,Sheet A,,,0,Game,,23HF04,0,23HF09,,FALSE,539473360
