Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,10/31/2024,8:30 PM,10/31/2024,10:30 PM,Ice Breakers at Neil,,Sheet C,,,0,Game,,24HF07,1,24HF09,,FALSE,562957889
SportsEngine,10/31/2024,6:00 PM,10/31/2024,8:00 PM,Liske at Team 13,,Sheet B,,,0,Game,,24HF12,1,24HF01,,FALSE,562957890
SportsEngine,10/31/2024,8:30 PM,10/31/2024,10:30 PM,Unnirvin at Bueermann,,Sheet B,,,0,Game,,24HF08,1,24HF06,,FALSE,562957891
SportsEngine,10/31/2024,6:00 PM,10/31/2024,8:00 PM,Team 12 at JAKE,,Sheet C,,,0,Game,,24HF02,1,24HF11,,FALSE,562957894
SportsEngine,11/7/2024,8:30 PM,11/7/2024,10:30 PM,Best Guess at Team 13,,Sheet B,,,0,Game,,24HF12,1,24HF04,,FALSE,562957904
SportsEngine,11/7/2024,6:00 PM,11/7/2024,8:00 PM,Ordering Takeout at Ice Breakers,,Sheet A,,,0,Game,,24HF09,1,24HF00,,FALSE,562957905
SportsEngine,11/7/2024,8:30 PM,11/7/2024,10:30 PM,Fuming Stones at Team 12,,Sheet A,,,0,Game,,24HF11,1,24HF03,,FALSE,562957906
SportsEngine,11/7/2024,6:00 PM,11/7/2024,8:00 PM,JAKE at Neil,,Sheet C,,,0,Game,,24HF07,1,24HF02,,FALSE,562957907
SportsEngine,11/7/2024,8:30 PM,11/7/2024,10:30 PM,Barber at Liske,,Sheet C,,,0,Game,,24HF01,1,24HF05,,FALSE,562957908
SportsEngine,11/7/2024,6:00 PM,11/7/2024,8:00 PM,Standeven at Bueermann,,Sheet B,,,0,Game,,24HF08,1,24HF10,,FALSE,562957909
SportsEngine,11/14/2024,8:30 PM,11/14/2024,10:30 PM,Team 13 at Ordering Takeout,,Sheet C,,,0,Game,,24HF00,1,24HF12,,FALSE,562957910
SportsEngine,11/14/2024,8:30 PM,11/14/2024,10:30 PM,Standeven at JAKE,,Sheet A,,,0,Game,,24HF02,1,24HF10,,FALSE,562957911
SportsEngine,11/14/2024,6:00 PM,11/14/2024,8:00 PM,Neil at Unnirvin,,Sheet B,,,0,Game,,24HF06,1,24HF07,,FALSE,562957912
SportsEngine,11/14/2024,6:00 PM,11/14/2024,8:00 PM,Best Guess at Team 12,,Sheet C,,,0,Game,,24HF11,1,24HF04,,FALSE,562957913
SportsEngine,11/14/2024,6:00 PM,11/14/2024,8:00 PM,Fuming Stones at Liske,,Sheet A,,,0,Game,,24HF01,1,24HF03,,FALSE,562957915
SportsEngine,11/14/2024,8:30 PM,11/14/2024,10:30 PM,Ice Breakers at Bueermann,,Sheet B,,,0,Game,,24HF08,1,24HF09,,FALSE,562957916
SportsEngine,11/21/2024,8:30 PM,11/21/2024,10:30 PM,Standeven at Neil,,Sheet A,,,0,Game,,24HF07,1,24HF10,,FALSE,562957917
SportsEngine,11/21/2024,8:30 PM,11/21/2024,10:30 PM,Unnirvin at Team 12,,Sheet B,,,0,Game,,24HF11,1,24HF06,,FALSE,562957918
SportsEngine,11/21/2024,8:30 PM,11/21/2024,10:30 PM,Ice Breakers at Best Guess,,Sheet C,,,0,Game,,24HF04,1,24HF09,,FALSE,562957919
